folder,title,url
001_Multiples_of_3_or_5,Multiples of 3 or 5,https://projecteuler.net/problem=1
002_Even_Fibonacci_Numbers,Even Fibonacci Numbers,https://projecteuler.net/problem=2
003_Largest_Prime_Factor,Largest Prime Factor,https://projecteuler.net/problem=3
004_Largest_Palindrome_Product,Largest Palindrome Product,https://projecteuler.net/problem=4
005_Smallest_Multiple,Smallest Multiple,https://projecteuler.net/problem=5
006_Sum_Square_Difference,Sum Square Difference,https://projecteuler.net/problem=6
007_10001st_Prime,10001st Prime,https://projecteuler.net/problem=7
008_Largest_Product_in_a_Series,Largest Product in a Series,https://projecteuler.net/problem=8
009_Special_Pythagorean_Triplet,Special Pythagorean Triplet,https://projecteuler.net/problem=9
010_Summation_of_Primes,Summation of Primes,https://projecteuler.net/problem=10
011_Largest_Product_in_a_Grid,Largest Product in a Grid,https://projecteuler.net/problem=11
012_Highly_Divisible_Triangular_Number,Highly Divisible Triangular Number,https://projecteuler.net/problem=12
013_Large_Sum,Large Sum,https://projecteuler.net/problem=13
014_Longest_Collatz_Sequence,Longest Collatz Sequence,https://projecteuler.net/problem=14
015_Lattice_Paths,Lattice Paths,https://projecteuler.net/problem=15
016_Power_Digit_Sum,Power Digit Sum,https://projecteuler.net/problem=16
017_Number_Letter_Counts,Number Letter Counts,https://projecteuler.net/problem=17
018_Maximum_Path_Sum_I,Maximum Path Sum I,https://projecteuler.net/problem=18
019_Counting_Sundays,Counting Sundays,https://projecteuler.net/problem=19
020_Factorial_Digit_Sum,Factorial Digit Sum,https://projecteuler.net/problem=20
021_Amicable_Numbers,Amicable Numbers,https://projecteuler.net/problem=21
022_Names_Scores,Names Scores,https://projecteuler.net/problem=22
023_Non-Abundant_Sums,Non-Abundant Sums,https://projecteuler.net/problem=23
024_Lexicographic_Permutations,Lexicographic Permutations,https://projecteuler.net/problem=24
025_1000-digit_Fibonacci_Number,1000-digit Fibonacci Number,https://projecteuler.net/problem=25
026_Reciprocal_Cycles,Reciprocal Cycles,https://projecteuler.net/problem=26
027_Quadratic_Primes,Quadratic Primes,https://projecteuler.net/problem=27
028_Number_Spiral_Diagonals,Number Spiral Diagonals,https://projecteuler.net/problem=28
029_Distinct_Powers,Distinct Powers,https://projecteuler.net/problem=29
030_Digit_Fifth_Powers,Digit Fifth Powers,https://projecteuler.net/problem=30
031_Coin_Sums,Coin Sums,https://projecteuler.net/problem=31
032_Pandigital_Products,Pandigital Products,https://projecteuler.net/problem=32
033_Digit_Cancelling_Fractions,Digit Cancelling Fractions,https://projecteuler.net/problem=33
034_Digit_Factorials,Digit Factorials,https://projecteuler.net/problem=34
035_Circular_Primes,Circular Primes,https://projecteuler.net/problem=35
036_Double-base_Palindromes,Double-base Palindromes,https://projecteuler.net/problem=36
037_Truncatable_Primes,Truncatable Primes,https://projecteuler.net/problem=37
038_Pandigital_Multiples,Pandigital Multiples,https://projecteuler.net/problem=38
039_Integer_Right_Triangles,Integer Right Triangles,https://projecteuler.net/problem=39
040_Champernownes_Constant,Champernowne's Constant,https://projecteuler.net/problem=40
041_Pandigital_Prime,Pandigital Prime,https://projecteuler.net/problem=41
042_Coded_Triangle_Numbers,Coded Triangle Numbers,https://projecteuler.net/problem=42
043_Sub-string_Divisibility,Sub-string Divisibility,https://projecteuler.net/problem=43
044_Pentagon_Numbers,Pentagon Numbers,https://projecteuler.net/problem=44
045_Triangular_Pentagonal_and_Hexagonal,"Triangular, Pentagonal, and Hexagonal",https://projecteuler.net/problem=45
046_Goldbachs_Other_Conjecture,Goldbach's Other Conjecture,https://projecteuler.net/problem=46
047_Distinct_Primes_Factors,Distinct Primes Factors,https://projecteuler.net/problem=47
048_Self_Powers,Self Powers,https://projecteuler.net/problem=48
049_Prime_Permutations,Prime Permutations,https://projecteuler.net/problem=49
050_Consecutive_Prime_Sum,Consecutive Prime Sum,https://projecteuler.net/problem=50
051_Prime_Digit_Replacements,Prime Digit Replacements,https://projecteuler.net/problem=51
052_Permuted_Multiples,Permuted Multiples,https://projecteuler.net/problem=52
053_Combinatoric_Selections,Combinatoric Selections,https://projecteuler.net/problem=53
054_Poker_Hands,Poker Hands,https://projecteuler.net/problem=54
055_Lychrel_Numbers,Lychrel Numbers,https://projecteuler.net/problem=55
056_Powerful_Digit_Sum,Powerful Digit Sum,https://projecteuler.net/problem=56
057_Square_Root_Convergents,Square Root Convergents,https://projecteuler.net/problem=57
058_Spiral_Primes,Spiral Primes,https://projecteuler.net/problem=58
059_XOR_Decryption,XOR Decryption,https://projecteuler.net/problem=59
060_Prime_Pair_Sets,Prime Pair Sets,https://projecteuler.net/problem=60
061_Cyclical_Figurate_Numbers,Cyclical Figurate Numbers,https://projecteuler.net/problem=61
062_Cubic_Permutations,Cubic Permutations,https://projecteuler.net/problem=62
063_Powerful_Digit_Counts,Powerful Digit Counts,https://projecteuler.net/problem=63
064_Odd_Period_Square_Roots,Odd Period Square Roots,https://projecteuler.net/problem=64
065_Convergents_of_e,Convergents of e,https://projecteuler.net/problem=65
066_Diophantine_Equation,Diophantine Equation,https://projecteuler.net/problem=66
067_Maximum_Path_Sum_II,Maximum Path Sum II,https://projecteuler.net/problem=67
068_Magic_5-gon_Ring,Magic 5-gon Ring,https://projecteuler.net/problem=68
069_Totient_Maximum,Totient Maximum,https://projecteuler.net/problem=69
070_Totient_Permutation,Totient Permutation,https://projecteuler.net/problem=70
071_Ordered_Fractions,Ordered Fractions,https://projecteuler.net/problem=71
072_Counting_Fractions,Counting Fractions,https://projecteuler.net/problem=72
073_Counting_Fractions_in_a_Range,Counting Fractions in a Range,https://projecteuler.net/problem=73
074_Digit_Factorial_Chains,Digit Factorial Chains,https://projecteuler.net/problem=74
075_Singular_Integer_Right_Triangles,Singular Integer Right Triangles,https://projecteuler.net/problem=75
076_Counting_Summations,Counting Summations,https://projecteuler.net/problem=76
077_Prime_Summations,Prime Summations,https://projecteuler.net/problem=77
078_Coin_Partitions,Coin Partitions,https://projecteuler.net/problem=78
079_Passcode_Derivation,Passcode Derivation,https://projecteuler.net/problem=79
080_Square_Root_Digital_Expansion,Square Root Digital Expansion,https://projecteuler.net/problem=80
081_Path_Sum_Two_Ways,Path Sum: Two Ways,https://projecteuler.net/problem=81
082_Path_Sum_Three_Ways,Path Sum: Three Ways,https://projecteuler.net/problem=82
083_Path_Sum_Four_Ways,Path Sum: Four Ways,https://projecteuler.net/problem=83
084_Monopoly_Odds,Monopoly Odds,https://projecteuler.net/problem=84
085_Counting_Rectangles,Counting Rectangles,https://projecteuler.net/problem=85
086_Cuboid_Route,Cuboid Route,https://projecteuler.net/problem=86
087_Prime_Power_Triples,Prime Power Triples,https://projecteuler.net/problem=87
088_Product-sum_Numbers,Product-sum Numbers,https://projecteuler.net/problem=88
089_Roman_Numerals,Roman Numerals,https://projecteuler.net/problem=89
090_Cube_Digit_Pairs,Cube Digit Pairs,https://projecteuler.net/problem=90
091_Right_Triangles_with_Integer_Coordinates,Right Triangles with Integer Coordinates,https://projecteuler.net/problem=91
092_Square_Digit_Chains,Square Digit Chains,https://projecteuler.net/problem=92
093_Arithmetic_Expressions,Arithmetic Expressions,https://projecteuler.net/problem=93
094_Almost_Equilateral_Triangles,Almost Equilateral Triangles,https://projecteuler.net/problem=94
095_Amicable_Chains,Amicable Chains,https://projecteuler.net/problem=95
096_Su_Doku,Su Doku,https://projecteuler.net/problem=96
097_Large_Non-Mersenne_Prime,Large Non-Mersenne Prime,https://projecteuler.net/problem=97
098_Anagramic_Squares,Anagramic Squares,https://projecteuler.net/problem=98
099_Largest_Exponential,Largest Exponential,https://projecteuler.net/problem=99
100_Arranged_Probability,Arranged Probability,https://projecteuler.net/problem=100